danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,popularity,release_date_ordinal
0.771,0.524,-7.608,0.108,0.0757,0.0,0.0841,0.591,85.748,2yA6QWjfgzoJYAHA8y0HLF,183015,24,736377
0.778,0.618,-7.499,0.101,0.103,0.00135,0.356,0.671,143.967,3YKb4RfxFidWLwfbM9kief,240026,28,736216
0.858,0.594,-7.677,0.0774,0.106,0.0101,0.101,0.62,119.991,1ekKOQlJLqjf61l6TZdU0U,206099,42,736195
0.558,0.455,-7.337,0.0382,0.499,0.0,0.0992,0.316,160.096,4AQ3WZrtQkU1TCFrt61cNV,182594,45,736383
0.632,0.647,-8.587,0.0294,0.141,0.104,0.0908,0.221,105.945,4NJpJ17Dgm5r4OYExFbxLk,193982,47,736307
0.731,0.445,-8.202,0.0533,0.071,0.0,0.0862,0.452,126.066,0hy48SusJtyhy4DNB2rEaS,216240,32,736286
0.781,0.592,-7.715,0.0389,0.0271,0.001,0.424,0.661,125.926,5cqY0pvJ3yvYaS4bTiSShZ,146480,10,736279
0.594,0.709,-9.541,0.0377,0.0315,0.0562,0.0738,0.587,90.001,5fIq2ovEhDIyV5Hx1epC4c,240293,46,736356
0.67,0.838,-4.031,0.0362,0.0605,0.000611,0.159,0.716,105.0,33cYcQm6naYAywTtdnrdxP,222041,48,736255
0.564,0.745,-7.733,0.31,0.265,0.0,0.147,0.351,170.661,6y2Kaz9QI01XBKJ8mTb7Pf,239627,65,736370
0.57,0.763,-4.137,0.0573,0.0857,2.49e-06,0.0932,0.43,150.088,6jq6rcOikCZAmjliAgAmfT,239853,57,736370
0.838,0.546,-6.811,0.295,0.153,0.0,0.0656,0.745,137.027,51LIqkda3pTeECZUhMnool,206533,58,736307
0.436,0.778,-5.139,0.107,0.213,5e-05,0.133,0.692,190.189,4f0ldNhe5ZsIhzene1nup1,221064,23,736223
0.531,0.557,-7.621,0.0454,0.156,0.000101,0.123,0.262,127.889,3FTmiGDBL6O5dkJsAvQE4O,348776,20,736300
0.721,0.746,-4.247,0.0317,0.0114,0.0952,0.0844,0.705,124.968,0x8VeSHmhbRl9EUAdsEx6A,206467,42,736101
0.83,0.585,-5.802,0.0366,0.225,0.00209,0.0576,0.642,105.03,5bgwqaRSS3M8WHWruHgSL5,228600,72,736446
0.528,0.678,-7.062,0.0953,0.238,5.28e-06,0.105,0.249,78.87,1iEW4lIeD5IuGDo9zP9lHW,199301,39,736356
0.788,0.604,-5.157,0.0372,0.0383,0.0,0.0896,0.16,126.965,6MWfLm5mekBlDaWUzUJvhU,236773,22,736314
0.544,0.459,-7.684,0.245,0.245,0.0,0.0627,0.418,172.12,0LDFH1WLQ6NPEMH556LUGs,187240,53,736352
0.666,0.713,-4.664,0.0305,0.00818,0.000254,0.1,0.854,100.078,2lEXaTrSES6eZyypyvo9yR,215307,42,736223
0.575,0.485,-9.247,0.0302,0.153,0.523,0.0934,0.345,172.17,1GLzCv2crATQgyUGdN94c3,214894,27,735907
0.422,0.949,-3.789,0.0694,0.000294,0.0,0.073,0.635,165.032,3ZJZjjKFxTqVGJ8QIYKMjp,225653,51,736335
0.437,0.54,-12.247,0.107,0.931,0.0946,0.0854,0.107,75.862,0GOEs6J9NmgFMR03fE0hdQ,232000,22,736237
0.542,0.661,-5.881,0.0356,0.307,0.000365,0.123,0.278,135.747,40KHZqR1ADbcSAVzuzrmLm,200839,22,736188
0.633,0.782,-3.252,0.0405,0.0604,0.0,0.182,0.803,96.073,0TzWLXV3gnCqTSzOYrLs8h,195349,19,736279
0.661,0.723,-5.67,0.057,0.122,0.0,0.168,0.733,93.022,2D1QgCqUKsDbPMhUboo0MA,196262,23,736227
0.474,0.846,-5.447,0.0727,0.00274,4.99e-06,0.292,0.487,98.931,7yhNr2wj7mZcpRG5K2Zgj6,206893,40,736342
0.624,0.696,-6.98,0.0689,0.608,1.01e-05,0.111,0.552,99.889,16LI6SKWUziWOSYWhZNjwK,212000,26,736270
0.726,0.861,-5.167,0.0695,0.277,4.12e-06,0.0534,0.711,91.966,4kK14radw0XfwxJDPt9tnP,243413,48,736244
0.602,0.793,-4.043,0.0767,0.172,0.0,0.069,0.283,90.093,1dXCXb006YbPSAajh6qhaF,188139,48,736244
0.739,0.689,-3.726,0.0468,0.00563,5.39e-06,0.102,0.897,102.018,0OBIHrjv88N4SEtf2INos5,234356,45,736384
0.582,0.602,-5.754,0.0328,0.0185,0.00409,0.0837,0.0481,113.991,7ML92epaA0BOTtYCEVfZXc,229474,44,736307
0.675,0.937,-3.525,0.0509,0.152,0.0,0.154,0.567,103.961,26hcyzSE154xMZCbFdtInA,218507,39,736251
0.551,0.495,-9.247,0.0619,0.43,0.00163,0.125,0.233,82.9,6Z1nIeD7mfejUFf6rKq2AY,155277,27,736247
0.502,0.904,-4.01,0.0774,0.0886,0.0,0.0839,0.868,84.461,6lUk96KJPMHWdhEy6rmwxt,245173,52,732677
0.688,0.453,-7.347,0.0511,0.352,0.0,0.152,0.411,104.008,3waIbY3hXhTdlsOOffGgZw,225413,19,736265
0.738,0.467,-5.97,0.103,0.00892,0.000143,0.0661,0.495,98.031,79MMToeXEo8PaTWt63Otm0,247653,24,736307
0.383,0.567,-10.41,0.0559,0.882,0.104,0.124,0.538,180.036,2NLuFrdfo1i9O82AiRBwT9,231364,39,735908
0.656,0.728,-9.715,0.0283,0.0131,0.815,0.128,0.27,118.986,4nQZSKxyFYqxo5KwaNnz8b,187464,5,736377
0.71,0.929,-3.33,0.122,0.053,4.85e-06,0.282,0.767,94.028,6GNJ9FO4ZKnRCoKF89WvIT,186220,26,736360
0.579,0.372,-9.614,0.223,0.421,0.0,0.123,0.108,75.578,3ChqAx4aMot9qva111W4R6,217544,30,736054
0.825,0.663,-9.414,0.0687,0.423,0.415,0.286,0.417,116.051,4TNFLwe6DhtR3Wn1JKMqMJ,248987,50,736293
0.596,0.676,-4.988,0.0479,0.0415,0.0,0.187,0.323,176.058,7GdEHrt8Y23hzjGei28A9J,210299,21,735964
0.718,0.812,-5.327,0.0938,0.0206,0.00263,0.111,0.573,145.036,0f3OnMFWmEjOAA9324JL22,236639,34,736139
0.521,0.149,-16.654,0.0374,0.976,0.0215,0.178,0.181,76.105,6yeVAVnUskTNb3TutTaU64,246317,31,736229
0.413,0.824,-5.141,0.0502,4.31e-05,0.0308,0.147,0.668,155.831,7MC1G78BDSLIBhRYgA4q6t,182745,41,735715
0.421,0.572,-7.069,0.0321,0.00793,0.00428,0.285,0.294,145.158,5UBVU0eOyj3RumAsvhUQNn,269293,32,736090
0.451,0.252,-11.626,0.0288,0.613,0.000682,0.115,0.115,80.158,5nL6QICzZuoVfxLBI9UTh5,199160,37,736216
0.697,0.925,-4.916,0.233,0.0789,0.0,0.528,0.487,110.045,4PMhjnUDw8Bk6BSLBlMNVu,250909,8,736284
0.365,0.722,-4.571,0.0398,0.0517,1.56e-06,0.0938,0.301,152.956,6qgiSeYw2abTYHrk98mn5h,277973,40,736223
0.756,0.861,-3.426,0.0287,0.028,0.000177,0.249,0.44,105.022,64aJ5HFvhIqHchQKTzyCEd,179786,26,736004
0.535,0.915,-5.118,0.0889,0.109,0.0303,0.115,0.362,143.02,2R8uQTOmkljaAMiEfICxns,211586,23,736395
0.594,0.481,-8.525,0.0353,0.629,0.0126,0.0939,0.0671,144.941,6NOq79ynBpBi6BSJMdgReN,296267,56,736342
0.502,0.89,-5.175,0.0364,0.000147,0.0117,0.217,0.259,133.52,57bgtoPSgt236HzfBOd8kj,292880,80,726734
0.417,0.934,-3.908,0.119,0.000278,0.0015,0.132,0.287,127.066,2DlHlPMa4M17kufBvI2lEN,210240,80,730732
0.618,0.938,-3.442,0.0456,0.0179,0.0,0.167,0.875,91.455,3ZOEytgrvLwQaqXreDs2Jx,269000,78,731040
0.523,0.943,-4.203,0.0337,0.00704,3.81e-05,0.0579,0.766,99.607,4EchqUKQ3qAQuRNKmeIpnf,180160,77,729709
0.492,0.969,-4.419,0.0491,0.0014,1.32e-06,0.0787,0.538,95.136,3K4HG9evC7dg3N0R9cYqk4,157333,75,730417
0.391,0.951,-7.419,0.0692,0.0126,0.000378,0.0878,0.468,157.66,4LJhJ6DQS7NwE7UKtvcM52,148360,75,729906
0.622,0.961,-3.198,0.154,0.00523,0.0,0.0854,0.449,114.452,0a7BloCiNzLDD9qSQHh5m7,180267,73,732069
0.591,0.963,-6.489,0.0531,8.74e-05,0.000107,0.0781,0.609,125.03,6Nm8h73ycDG2saCnZV8poF,222827,73,729390
0.577,0.828,-8.691,0.0298,0.00213,0.0114,0.0581,0.604,123.257,5sICkBXVmaCQk5aISGR3x1,331267,77,727056
0.613,0.953,-3.435,0.0855,0.00148,0.000582,0.152,0.537,105.046,305WCRhhS10XUcH6AEwZk6,213800,72,731473
0.398,0.927,-4.212,0.0567,6.2e-05,0.000177,0.0575,0.311,77.106,4dVbhS6OiYvFikshyaQaCN,260027,72,729164
0.529,0.967,-3.647,0.0508,0.114,0.0,0.61,0.596,140.127,0UFDKFqW2oGspYeYqo9wjA,166373,71,732677
0.644,0.939,-3.486,0.0456,0.157,0.0,0.233,0.861,106.031,28IEbk5a7twNTbUEvWslUb,208107,70,725573
0.453,0.987,-4.485,0.0889,0.0195,0.283,0.268,0.316,123.544,0G21yYKMZoHa30cYVi1iA8,273480,74,732810
0.324,0.938,-7.332,0.102,0.032,0.0321,0.0961,0.543,168.131,0Puj4YlTm6xNzDDADXHMI9,178440,70,728071
0.356,0.872,-7.837,0.068,0.00417,0.00975,0.0997,0.607,166.3,5G1sTBGbZT5o4PNRc75RKI,193653,70,734477
0.402,0.914,-5.215,0.142,0.000579,0.0,0.065,0.626,196.505,4KacUpvbA3Mfo05gttTjhN,178267,70,731145
0.412,0.92,-4.852,0.0575,0.000456,0.0026,0.11,0.455,93.162,7xyYsOvq5Ec3P4fr6mM9fD,227440,70,730486
0.308,0.873,-4.542,0.0533,0.00022,0.000729,0.0974,0.686,143.519,0Ti2dlF2xLjXblvdU5fCxM,206587,70,731663
